File                                                                                       Status
transformation/phasar/linear_constant/basic_01_resugared                                   BC generated
transformation/phasar/linear_constant/basic_02                                             BC generated
transformation/phasar/linear_constant/loop_01_resugared                                    BC generated
transformation/phasar/linear_constant/recursion_01_resugared                               BC generated
transformation/phasar/linear_constant/call_01_resugared                                    BC generated
transformation/phasar/linear_constant/basic_02_resugared                                   BC generated
transformation/phasar/linear_constant/basic_04                                             BC generated
transformation/phasar/secure_memory/memory1                                                SuperC failed
transformation/phasar/secure_memory/memory1                                                BC failed
transformation/phasar/secure_memory/memory1_resugared                                      SuperC failed
transformation/phasar/secure_memory/memory1_resugared                                      BC failed
transformation/phasar/secure_memory/memory1_2                                              SuperC failed
transformation/phasar/secure_memory/memory1_2                                              BC failed
transformation/phasar/secure_memory/memory1_resugared_decls_added                          BC generated
transformation/phasar/secure_memory/memory1_2_resugared_decls_added                        File isn't valid
transformation/phasar/secure_memory/memory1_2_resugared                                    File isn't valid
